StudentID,Name,Major,GPA,EnrollmentDate
100091,Eka,Engineering,3.12,2018-07-14
100092,Dina,Law,3.11,2022-07-27
100093,Eka,Law,2.24,2020-10-17
100094,Cici,Engineering,3.51,2022-11-07
100095,Cici,Business,3.06,2022-04-22
100096,Budi,Computer Science,3.06,2021-06-11
100097,Ari,Business,2.95,2018-11-15
100098,Eka,Business,3.7,2020-07-14
100099,Cici,Law,3.35,2021-02-19
100100,Ari,Computer Science,3.12,2021-06-02
100101,Dina,Computer Science,2.95,2022-03-23
100102,Budi,Business,3.75,2018-12-11
100103,Eka,Law,3.93,2021-08-25
100104,Dina,Computer Science,2.46,2018-01-25
100105,Dina,Computer Science,3.79,2020-06-19
100106,Dina,Law,2.25,2020-06-21
100107,Ari,Law,2.62,2019-12-13
100108,Budi,Law,2.01,2019-09-17
100109,Cici,Business,3.17,2018-07-01
100110,Eka,Engineering,2.46,2019-11-18
100111,Eka,Computer Science,2.68,2021-06-18
100112,Eka,Law,4.0,2021-05-27
100113,Eka,Computer Science,2.17,2022-03-16
100114,Cici,Computer Science,2.29,2021-06-26
100115,Cici,Law,3.02,2020-11-09
100116,Ari,Engineering,3.75,2019-04-05
100117,Ari,Engineering,2.25,2019-10-30
100118,Dina,Engineering,2.26,2019-07-31
100119,Budi,Law,2.71,2018-03-24
100120,Ari,Computer Science,2.07,2021-06-02
100121,Cici,Engineering,2.17,2021-05-29
100122,Budi,Business,3.13,2021-01-12
100123,Dina,Computer Science,3.42,2018-01-20
100124,Budi,Computer Science,2.2,2021-01-20
100125,Cici,Computer Science,3.11,2022-03-11
100126,Budi,Computer Science,3.92,2022-02-27
100127,Ari,Law,2.46,2018-11-02
100128,Eka,Business,2.21,2018-01-31
100129,Budi,Engineering,2.05,2019-04-26
100130,Dina,Law,2.67,2021-02-10
100131,Cici,Engineering,2.67,2021-07-27
100132,Ari,Law,3.51,2021-03-22
100133,Eka,Computer Science,2.19,2018-07-28
100134,Ari,Computer Science,2.25,2022-08-30
100135,Ari,Business,3.61,2022-02-21
100136,Budi,Law,2.4,2019-02-02
100137,Cici,Business,3.56,2022-09-18
100138,Cici,Business,2.87,2021-05-26
100139,Eka,Computer Science,3.14,2019-11-01
100140,Budi,Engineering,3.12,2020-01-07
100141,Dina,Law,3.49,2021-06-12
100142,Cici,Business,3.07,2018-10-24
100143,Cici,Computer Science,2.2,2022-07-02
100144,Dina,Law,2.94,2019-04-30
100145,Eka,Business,2.77,2022-09-18
100146,Dina,Engineering,2.79,2022-05-21
100147,Dina,Business,2.92,2021-10-08
100148,Dina,Law,2.66,2018-10-17
100149,Dina,Law,2.03,2022-08-04
100150,Budi,Computer Science,2.5,2021-05-05
100151,Dina,Law,2.27,2021-12-27
100152,Dina,Computer Science,2.14,2021-06-23
100153,Dina,Computer Science,3.58,2019-03-18
100154,Cici,Engineering,2.56,2019-10-13
100155,Budi,Business,2.41,2018-03-16
100156,Eka,Business,3.29,2020-12-01
100157,Cici,Law,3.56,2020-04-27
100158,Eka,Business,2.94,2021-06-22
100159,Cici,Law,3.75,2019-11-16
100160,Cici,Law,3.09,2022-03-05
100161,Budi,Engineering,2.79,2020-02-23
100162,Dina,Engineering,3.45,2020-11-28
100163,Dina,Computer Science,3.58,2021-09-25
100164,Dina,Business,3.8,2022-05-24
100165,Cici,Computer Science,2.47,2019-08-20
100166,Eka,Computer Science,3.48,2019-04-07
100167,Dina,Business,3.52,2022-02-24
100168,Dina,Law,3.35,2021-10-11
100169,Ari,Law,3.97,2020-03-17
100170,Eka,Business,2.18,2018-09-25
100171,Budi,Law,2.19,2021-01-22
100172,Eka,Computer Science,3.61,2020-03-08
100173,Ari,Business,2.91,2022-12-06
100174,Dina,Computer Science,3.02,2021-01-03
100175,Dina,Computer Science,3.47,2020-06-18
100176,Cici,Business,2.3,2022-12-16
100177,Eka,Computer Science,2.96,2019-06-13
100178,Budi,Law,3.68,2020-01-04
100179,Budi,Business,2.76,2022-04-13
100180,Budi,Engineering,2.32,2021-08-16
100181,Eka,Computer Science,3.42,2022-11-06
100182,Ari,Engineering,3.2,2020-08-16
100183,Budi,Computer Science,3.97,2021-10-04
100184,Dina,Business,2.24,2019-04-17
100185,Eka,Law,3.98,2021-05-20
100186,Cici,Business,2.99,2020-03-17
100187,Ari,Computer Science,2.43,2019-02-22
100188,Eka,Law,2.81,2019-04-05
100189,Cici,Business,3.24,2022-06-11
100190,Ari,Computer Science,2.8,2018-03-06
100191,Ari,Business,3.95,2018-11-29
100192,Eka,Computer Science,3.07,2020-11-04
100193,Dina,Engineering,3.23,2018-08-01
100194,Eka,Business,2.99,2018-09-17
100195,Dina,Engineering,3.61,2018-12-06
100196,Ari,Law,2.68,2022-11-08
100197,Eka,Engineering,3.01,2022-04-24
100198,Cici,Engineering,2.36,2022-08-04
100199,Budi,Business,2.14,2019-04-16
100200,Budi,Engineering,,2018-04-27
100201,Budi,Engineering,2.73,2018-06-25
100202,Dina,Law,2.75,2018-12-18
100203,Budi,Engineering,3.31,2020-12-29
100204,Cici,Engineering,3.44,2020-01-26
100205,Eka,Engineering,3.3,2021-07-06
100206,Eka,Computer Science,3.26,2018-01-26
100207,Ari,Computer Science,2.58,2019-07-19
100208,Budi,Business,2.21,2021-11-13
100209,Dina,Engineering,3.13,2022-10-13
100210,Dina,Business,3.93,2018-02-03
100211,Dina,Engineering,3.92,2019-08-31
100212,Dina,Engineering,3.04,2018-10-27
100213,Budi,Business,2.08,2021-08-18
100214,Budi,Business,3.74,2020-01-29
100215,Ari,Engineering,3.07,2019-11-04
100216,Budi,Law,2.77,2020-05-14
100217,Eka,Law,2.15,2022-07-16
100218,Budi,Law,2.0,2020-09-23
100219,Cici,Computer Science,3.26,2019-03-17
100220,Dina,Computer Science,3.9,2020-02-19
100221,Dina,Law,2.61,2018-10-29
100222,Ari,Law,3.91,2018-02-05
100223,Cici,Engineering,2.3,2018-09-14
100224,Eka,Law,3.14,2021-06-25
100225,Budi,Law,2.09,2022-11-26
100226,Budi,Law,2.62,2022-04-08
100227,Cici,Business,2.58,2021-05-04
100228,Cici,Engineering,2.54,2020-11-17
100229,Eka,Law,3.74,2018-11-01
100230,Ari,Law,2.84,2018-12-13
100231,Cici,Computer Science,2.22,2019-12-01
100232,Ari,Computer Science,2.17,2018-06-27
100233,Dina,Engineering,3.94,2020-04-26
100234,Budi,Business,3.11,2021-05-22
100235,Dina,Computer Science,3.98,2020-12-26
100236,Budi,Computer Science,3.12,2022-09-19
100237,Cici,Business,3.66,2019-11-26
100238,Ari,Computer Science,2.53,2018-07-18
100239,Eka,Engineering,2.42,2021-03-13
100240,Ari,Business,2.16,2019-08-07
100241,Budi,Business,2.67,2020-09-23
100242,Cici,Computer Science,3.12,2021-02-28
100243,Ari,Business,3.59,2019-08-20
100244,Budi,Law,2.56,2018-11-02
100245,Cici,Law,3.17,2020-02-08
100246,Eka,Engineering,2.29,2021-10-02
100247,Budi,Computer Science,2.41,2018-04-07
100248,Eka,Computer Science,2.63,2022-10-06
100249,Budi,Computer Science,2.32,2018-06-30
100250,Budi,Computer Science,3.68,2021-11-03
100251,Dina,Computer Science,2.2,2021-11-12
100252,Ari,Business,3.07,2018-11-13
100253,Dina,Engineering,3.42,2022-01-17
100254,Cici,Engineering,3.16,2022-02-08
100255,Dina,Computer Science,3.39,2021-09-02
100256,Eka,Computer Science,2.49,2021-09-04
100257,Cici,Engineering,3.11,2022-05-18
100258,Eka,Business,3.04,2018-07-01
100259,Dina,Computer Science,2.95,2020-03-03
100260,Budi,Computer Science,2.74,2021-11-17
100261,Eka,Computer Science,2.8,2019-11-12
100262,Dina,Business,3.96,2020-06-08
100263,Budi,Computer Science,3.72,2021-07-17
100264,Budi,Law,2.91,2019-09-19
100265,Ari,Engineering,3.5,2022-09-14
100266,Cici,Computer Science,2.23,2022-02-14
100267,Budi,Engineering,3.72,2022-05-10
100268,Dina,Business,2.37,2021-08-17
100269,Cici,Law,3.97,2019-07-05
100270,Ari,Computer Science,2.65,2021-04-12
100271,Dina,Law,2.94,2018-02-10
100272,Ari,Law,3.66,2020-09-11
100273,Ari,Engineering,2.87,2020-02-05
100274,Eka,Engineering,2.93,2022-01-09
100275,Ari,Law,2.47,2022-12-01
100276,Ari,Business,3.66,2022-06-30
100277,Dina,Business,3.98,2021-09-21
100278,Eka,Computer Science,3.27,2018-06-06
100279,Eka,Engineering,2.25,2021-11-23
100280,Budi,Business,3.18,2018-11-29
100281,Dina,Business,3.02,2018-03-12
100282,Eka,Business,3.01,2021-03-25
100283,Dina,Law,2.67,2019-04-09
100284,Dina,Engineering,2.5,2022-03-09
100285,Ari,Engineering,3.07,2021-02-28
100286,Cici,Business,3.56,2022-07-01
100287,Eka,Computer Science,3.76,2019-07-27
100288,Eka,Engineering,2.21,2019-02-08
100289,Dina,Law,3.43,2019-06-21
100290,Eka,Business,3.24,2022-01-16
100291,Cici,Business,2.42,2022-03-25
100292,Cici,Computer Science,2.08,2021-10-16
100293,Dina,Business,2.71,2022-04-21
100294,Cici,Business,2.57,2022-07-03
100295,Cici,Computer Science,3.14,2019-10-12
100296,Ari,Engineering,2.4,2020-07-16
100297,Eka,Law,2.78,2021-08-15
100298,Dina,Engineering,2.24,2022-10-28
100299,Dina,Business,3.1,2019-08-26
100300,Cici,Engineering,3.86,2021-04-23
100301,Cici,Law,3.55,2020-12-16
100302,Budi,Engineering,3.38,2022-05-26
100303,Ari,Computer Science,3.4,2020-03-26
100304,Ari,Law,2.37,2022-07-12
100305,Budi,Engineering,3.33,2022-08-06
100306,Eka,Computer Science,3.53,2019-12-28
100307,Ari,Computer Science,2.97,2021-04-21
100308,Ari,Computer Science,2.44,2019-10-29
100309,Cici,Engineering,3.43,2019-03-12
100310,Eka,Engineering,4.0,2022-02-11
100311,Dina,Law,3.6,2018-09-10
100312,Dina,Computer Science,2.62,2020-03-28
100313,Eka,Computer Science,3.59,2021-06-17
100314,Budi,Law,3.19,2018-11-13
100315,Dina,Law,3.13,2020-09-10
100316,Budi,Business,2.65,2022-12-11
100317,Budi,Law,3.07,2022-07-01
100318,Dina,Engineering,2.22,2020-12-26
100319,Eka,Business,2.39,2021-01-19
100320,Budi,Business,3.82,2019-04-17
100321,Ari,Computer Science,3.24,2018-11-10
100322,Ari,Computer Science,3.48,2020-05-12
100323,Cici,Computer Science,3.13,2022-01-20
100324,Ari,Computer Science,3.34,2020-06-15
100325,Dina,Computer Science,2.78,2020-07-24
100326,Ari,Computer Science,3.01,2020-02-23
100327,Cici,Computer Science,3.52,2019-09-17
100328,Eka,Business,2.07,2021-08-30
100329,Cici,Law,3.55,2022-01-30
100330,Ari,Business,2.14,2020-03-22
100331,Budi,Law,2.05,2019-12-21
100332,Ari,Engineering,2.72,2018-04-01
100333,Ari,Engineering,2.82,2021-12-19
100334,Eka,Computer Science,2.79,2020-11-12
100335,Eka,Computer Science,2.54,2021-04-29
100336,Ari,Computer Science,2.4,2019-01-17
100337,Cici,Computer Science,3.43,2018-09-20
100338,Dina,Law,2.96,2020-07-11
100339,Budi,Law,3.16,2022-03-25
100340,Cici,Computer Science,3.34,2018-07-28
100341,Eka,Law,3.1,2018-09-03
100342,Budi,Engineering,3.43,2018-11-25
100343,Ari,Computer Science,3.42,2019-11-18
100344,Ari,Law,2.59,2022-06-10
100345,Ari,Business,3.58,2019-01-11
100346,Cici,Computer Science,2.6,2019-01-19
100347,Eka,Engineering,3.33,2021-05-29
100348,Ari,Law,2.75,2020-01-26
100349,Cici,Law,3.44,2021-10-25
100350,Cici,Law,2.29,2019-02-05
100351,Cici,Business,2.05,2019-10-04
100352,Budi,Business,2.11,2022-08-16
100353,Budi,Business,2.87,2021-08-26
100354,Ari,Business,3.92,2019-10-10
100355,Budi,Engineering,3.73,2022-03-09
100356,Dina,Business,2.15,2020-11-01
100357,Cici,Engineering,3.33,2020-11-08
100358,Cici,Computer Science,2.47,2020-02-27
100359,Ari,Law,3.72,2020-06-19
100360,Budi,Computer Science,2.05,2020-01-16
100361,Eka,Engineering,3.55,2021-10-25
100362,Eka,Business,3.03,2020-07-18
100363,Eka,Business,3.12,2020-08-29
100364,Eka,Law,2.64,2022-06-27
100365,Eka,Law,2.19,2020-11-21
100366,Ari,Business,2.05,2021-12-13
100367,Cici,Business,2.72,2022-10-28
100368,Dina,Engineering,3.26,2021-12-26
100369,Ari,Law,2.52,2020-01-26
100370,Ari,Engineering,2.23,2020-10-14
100371,Cici,Computer Science,2.12,2020-02-17
100372,Eka,Law,2.32,2022-11-17
100373,Dina,Engineering,2.23,2019-12-01
100374,Dina,Engineering,2.0,2022-12-03
100375,Budi,Law,2.71,2022-04-19
100376,Ari,Business,3.27,2018-06-15
100377,Ari,Computer Science,2.04,2019-10-05
100378,Eka,Computer Science,3.16,2019-08-05
100379,Ari,Computer Science,3.65,2021-06-30
100380,Eka,Business,3.22,2020-04-02
100381,Budi,Business,2.18,2022-10-23
100382,Eka,Computer Science,3.83,2022-03-10
100383,Cici,Law,2.58,2021-03-30
100384,Budi,Law,2.54,2018-05-11
100385,Cici,Business,2.04,2020-12-07
100386,Cici,Business,3.06,2022-03-27
100387,Budi,Engineering,3.56,2020-08-21
100388,Ari,Law,2.29,2018-09-26
100389,Cici,Engineering,2.36,2020-07-03
100390,Eka,Law,2.15,2020-06-03
100391,Ari,Business,3.37,2018-06-05
100392,Dina,Business,3.51,2018-05-23
100393,Eka,Engineering,3.92,2020-05-02
100394,Dina,Law,2.61,2019-05-10
100395,Cici,Law,3.44,2020-03-26
100396,Budi,Business,2.17,2022-05-26
100397,Dina,Engineering,2.62,2020-12-29
100398,Cici,Business,2.2,2022-07-28
100399,Cici,Business,3.13,2019-06-13
100400,Dina,Computer Science,,2021-06-03
100401,Cici,Law,3.61,2021-02-21
100402,Eka,Business,3.87,2021-09-24
100403,Cici,Computer Science,3.27,2018-02-01
100404,Budi,Engineering,2.75,2021-01-17
100405,Ari,Computer Science,2.25,2020-09-12
100406,Cici,Engineering,3.56,2022-10-31
100407,Dina,Business,3.27,2019-02-16
100408,Ari,Law,3.99,2018-01-21
100409,Eka,Computer Science,2.17,2022-05-20
100410,Cici,Computer Science,2.11,2018-05-13
100411,Cici,Law,2.29,2021-03-02
100412,Cici,Engineering,3.78,2018-11-25
100413,Eka,Computer Science,3.15,2022-04-29
100414,Eka,Law,2.77,2022-08-19
100415,Cici,Computer Science,3.32,2018-02-24
100416,Dina,Business,2.73,2018-10-22
100417,Ari,Computer Science,3.91,2022-04-06
100418,Budi,Business,3.74,2018-08-23
100419,Budi,Law,2.68,2020-09-14
100420,Cici,Law,3.93,2018-08-24
100421,Cici,Computer Science,2.5,2020-10-20
100422,Budi,Law,2.29,2018-06-25
100423,Cici,Business,2.34,2021-12-08
100424,Ari,Business,4.0,2021-06-18
100425,Ari,Engineering,2.24,2021-11-18
100426,Cici,Engineering,3.87,2018-02-06
100427,Dina,Computer Science,3.69,2021-03-31
100428,Budi,Law,2.33,2021-04-24
100429,Dina,Engineering,3.6,2020-05-27
100430,Budi,Computer Science,3.02,2019-04-01
100431,Eka,Law,2.26,2020-02-16
100432,Budi,Law,3.11,2020-07-27
100433,Ari,Business,3.95,2022-07-02
100434,Cici,Engineering,2.89,2020-11-18
100435,Ari,Business,2.81,2020-08-04
100436,Dina,Computer Science,3.9,2022-06-19
100437,Dina,Business,3.49,2022-12-03
100438,Eka,Law,3.68,2020-01-28
100439,Ari,Law,2.51,2018-10-27
100440,Ari,Computer Science,3.87,2022-09-04
100441,Eka,Computer Science,3.52,2020-02-26
100442,Cici,Computer Science,2.15,2020-09-24
100443,Cici,Engineering,2.29,2019-04-07
100444,Dina,Law,3.55,2020-01-17
100445,Eka,Engineering,3.76,2021-05-07
100446,Cici,Business,3.35,2021-04-11
100447,Eka,Law,3.31,2020-06-25
100448,Ari,Engineering,3.44,2019-09-02
100449,Dina,Law,2.61,2020-02-10
100450,Budi,Law,2.8,2019-04-12
100451,Ari,Business,2.38,2018-06-25
100452,Eka,Law,2.35,2022-05-07
100453,Ari,Business,3.55,2018-02-02
100454,Budi,Business,3.94,2019-10-05
100455,Cici,Law,3.68,2021-12-07
100456,Eka,Engineering,3.86,2018-10-05
100457,Eka,Computer Science,2.47,2022-12-07
100458,Eka,Engineering,2.38,2020-03-07
100459,Eka,Computer Science,2.73,2021-03-23
100460,Ari,Computer Science,3.0,2021-10-19
100461,Eka,Computer Science,2.93,2022-09-24
100462,Dina,Business,3.51,2020-01-31
100463,Cici,Business,2.97,2021-05-05
100464,Budi,Computer Science,3.41,2020-06-02
100465,Budi,Business,3.63,2022-04-18
100466,Ari,Law,2.14,2022-01-22
100467,Budi,Engineering,2.65,2021-11-03
100468,Budi,Engineering,3.77,2018-06-20
100469,Eka,Business,3.4,2020-06-24
100470,Budi,Engineering,3.83,2020-10-23
100471,Dina,Engineering,2.63,2021-09-21
100472,Cici,Law,2.48,2019-12-11
100473,Eka,Computer Science,2.27,2021-11-20
100474,Eka,Law,2.94,2020-01-14
100475,Budi,Business,2.57,2019-03-17
100476,Eka,Computer Science,2.33,2019-10-04
100477,Eka,Engineering,3.11,2021-04-30
100478,Cici,Computer Science,3.09,2020-07-08
100479,Cici,Law,3.85,2018-10-30
100480,Cici,Engineering,2.94,2022-05-29
100481,Budi,Computer Science,3.4,2020-12-08
100482,Ari,Engineering,3.4,2019-11-24
100483,Ari,Business,2.46,2018-10-27
100484,Ari,Computer Science,2.29,2022-08-16
100485,Cici,Law,2.21,2021-10-19
100486,Cici,Business,3.33,2018-07-12
100487,Dina,Law,2.79,2022-02-09
100488,Dina,Engineering,2.53,2019-09-24
100489,Cici,Engineering,2.68,2021-01-14
100490,Eka,Law,2.83,2018-09-25
100491,Dina,Computer Science,2.32,2021-10-18
100492,Eka,Computer Science,2.28,2020-11-09
100493,Eka,Engineering,2.43,2022-04-19
100494,Dina,Computer Science,2.54,2018-05-26
100495,Eka,Business,2.85,2021-11-02
100496,Ari,Law,2.26,2020-06-04
100497,Eka,Engineering,2.49,2021-10-18
100498,Eka,Computer Science,3.16,2018-02-02
100499,Budi,Computer Science,2.49,2018-12-24
100500,Budi,Engineering,3.45,2018-09-25
100501,Cici,Computer Science,3.62,2018-02-08
100502,Budi,Engineering,3.04,2022-01-19
100503,Dina,Computer Science,2.43,2018-02-02
100504,Budi,Engineering,2.45,2020-05-10
100505,Budi,Computer Science,3.0,2019-05-22
100506,Dina,Engineering,2.39,2018-10-09
100507,Eka,Computer Science,4.0,2022-07-14
100508,Cici,Law,3.7,2022-09-18
100509,Cici,Computer Science,2.54,2021-12-13
100510,Cici,Law,3.03,2022-09-17
100511,Ari,Computer Science,3.61,2019-07-11
100512,Eka,Engineering,2.79,2018-01-31
100513,Eka,Engineering,2.31,2018-06-20
100514,Budi,Law,2.76,2020-12-22
100515,Eka,Engineering,3.71,2018-08-28
100516,Eka,Law,2.93,2020-02-21
100517,Dina,Law,2.59,2022-02-03
100518,Cici,Engineering,3.58,2021-01-24
100519,Cici,Law,3.18,2022-04-24
100520,Eka,Engineering,2.05,2019-05-21
100521,Dina,Computer Science,3.7,2020-06-26
100522,Budi,Engineering,3.32,2018-10-14
100523,Budi,Computer Science,3.41,2022-04-19
100524,Dina,Computer Science,2.36,2020-07-21
100525,Eka,Computer Science,3.42,2018-06-22
100526,Eka,Business,3.93,2020-01-24
100527,Dina,Computer Science,3.78,2018-04-18
100528,Budi,Computer Science,2.99,2021-10-23
100529,Dina,Law,3.84,2022-04-18
100530,Ari,Engineering,3.92,2018-12-01
100531,Cici,Computer Science,3.87,2020-03-01
100532,Ari,Law,3.91,2019-06-12
100533,Eka,Engineering,2.82,2022-10-13
100534,Eka,Computer Science,2.75,2018-11-28
100535,Eka,Computer Science,3.66,2019-11-13
100536,Eka,Computer Science,2.07,2022-01-18
100537,Ari,Law,2.34,2022-05-08
100538,Budi,Law,3.79,2020-05-01
100539,Eka,Engineering,4.0,2022-07-22
100540,Eka,Engineering,2.57,2019-01-29
100541,Dina,Business,3.02,2019-04-07
100542,Budi,Computer Science,3.74,2020-05-20
100543,Eka,Engineering,2.67,2018-11-17
100544,Eka,Engineering,3.23,2022-02-27
100545,Budi,Computer Science,2.27,2020-04-29
100546,Eka,Computer Science,3.78,2019-03-06
100547,Ari,Business,3.64,2018-01-09
100548,Cici,Business,2.91,2018-03-22
100549,Ari,Law,3.76,2018-08-29
100550,Ari,Law,2.59,2020-12-10
100551,Dina,Law,2.58,2018-07-18
100552,Cici,Computer Science,2.54,2018-01-05
100553,Cici,Business,3.98,2021-06-23
100554,Budi,Business,2.68,2022-07-17
100555,Cici,Law,2.3,2021-04-08
100556,Cici,Law,2.42,2021-08-15
100557,Budi,Law,2.12,2020-01-03
100558,Dina,Business,3.56,2018-02-05
100559,Budi,Computer Science,3.02,2019-04-04
100560,Budi,Business,2.66,2022-09-05
100561,Dina,Computer Science,2.43,2018-03-23
100562,Dina,Business,2.03,2018-06-25
100563,Ari,Engineering,2.99,2018-04-17
100564,Eka,Business,2.6,2019-02-06
100565,Eka,Business,3.96,2021-06-16
100566,Eka,Law,3.15,2020-07-18
100567,Dina,Computer Science,3.27,2021-10-17
100568,Budi,Engineering,3.79,2019-08-11
100569,Ari,Business,2.37,2018-02-14
100570,Budi,Engineering,2.37,2021-08-02
100571,Dina,Computer Science,3.57,2022-07-05
100572,Cici,Computer Science,2.41,2020-08-02
100573,Dina,Computer Science,3.43,2019-03-27
100574,Ari,Computer Science,3.46,2022-07-08
100575,Ari,Law,3.18,2019-09-16
100576,Eka,Business,3.53,2020-11-27
100577,Eka,Computer Science,3.02,2020-07-29
100578,Cici,Business,3.16,2019-02-23
100579,Cici,Law,3.25,2019-06-06
100580,Budi,Business,3.0,2019-11-02
100581,Eka,Computer Science,2.24,2019-01-20
100582,Ari,Engineering,3.5,2020-04-04
100583,Ari,Computer Science,3.35,2022-03-12
100584,Budi,Computer Science,2.45,2021-07-21
100585,Eka,Law,2.16,2020-01-16
100586,Eka,Computer Science,2.2,2018-08-06
100587,Dina,Computer Science,3.51,2021-12-01
100588,Eka,Business,2.29,2018-03-14
100589,Cici,Computer Science,2.18,2022-08-19
100590,Dina,Engineering,3.13,2019-12-17
100591,Cici,Business,3.12,2019-02-06
100592,Cici,Law,3.08,2020-05-09
100593,Dina,Computer Science,3.81,2019-05-04
100594,Dina,Law,2.77,2021-12-11
100595,Budi,Engineering,2.51,2018-08-26
100596,Eka,Computer Science,3.55,2022-11-11
100597,Eka,Law,3.57,2020-09-30
100598,Ari,Engineering,2.22,2021-11-30
100599,Eka,Computer Science,3.85,2019-01-12
100600,Budi,Engineering,,2021-05-29
100601,Eka,Computer Science,3.58,2020-05-13
100602,Dina,Business,3.08,2020-11-29
100603,Ari,Engineering,3.22,2021-01-05
100604,Eka,Business,3.23,2021-08-11
100605,Budi,Computer Science,3.49,2020-11-01
100606,Eka,Computer Science,2.84,2022-08-04
100607,Cici,Computer Science,2.39,2018-11-19
100608,Ari,Law,2.05,2022-11-22
100609,Budi,Computer Science,2.34,2021-07-16
100610,Budi,Business,3.5,2018-05-22
100611,Ari,Business,3.77,2022-03-28
100612,Eka,Law,2.2,2020-05-28
100613,Ari,Business,3.58,2018-07-14
100614,Ari,Computer Science,3.85,2021-01-02
100615,Eka,Business,3.02,2020-03-16
100616,Eka,Law,2.7,2019-06-05
100617,Dina,Law,3.42,2020-07-25
100618,Budi,Computer Science,2.78,2021-03-25
100619,Eka,Business,3.74,2021-06-05
100620,Eka,Computer Science,3.48,2022-10-05
100621,Dina,Law,2.91,2022-03-08
100622,Ari,Law,2.73,2018-11-02
100623,Cici,Law,2.27,2018-09-04
